State, Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 ,Q4_2017, Q4_2018 , Q4_2019 , Q4_2020 , Q4_2021 
 AK ,"4,260","4,430","4,440","4,510","4,850","4,810","4,540","4,180","4,060","3,980","3,820","3,830","3,920","4,110","4,270","4,350","4,440","3,900","4,070"
 AL ,"2,600","2,600","2,510","2,560","2,790","2,820","2,510","2,320","2,240","2,180","2,050","2,070","2,110","2,190","2,370","2,420","2,550","2,330","2,370"
 AR ,"2,430","2,460","2,520","2,540","2,720","2,730","2,390","2,180","2,120","2,060","1,970","1,990","2,050","2,150","2,300","2,410","2,530","2,300","2,380"
 AZ ,"3,110","3,170","2,970","3,100","3,590","3,990","3,740","3,270","3,060","2,930","2,740","2,740","2,810","2,930","3,140","3,310","3,460","3,030","3,060"
 CA ,"3,080","3,120","3,160","3,450","3,960","4,360","4,020","3,530","3,310","3,190","3,100","3,050","3,060","3,220","3,420","3,610","3,810","3,230","3,330"
 CO ,"3,480","3,650","3,730","3,880","4,240","4,450","4,090","3,720","3,560","3,440","3,220","3,230","3,250","3,380","3,530","3,670","3,820","3,350","3,480"
 CT ,"3,330","3,510","3,550","3,660","4,000","4,210","3,830","3,540","3,510","3,490","3,350","3,370","3,460","3,540","3,730","3,870","4,020","3,480","3,610"
 DC ,"3,330","3,340","3,300","3,440","3,760","3,850","3,580","3,410","3,370","3,410","3,310","3,470","3,600","3,780","3,920","4,180","4,420","3,680","4,040"
 DE ,"3,000","3,050","2,990","3,110","3,380","3,590","3,260","3,040","2,980","2,960","2,780","2,810","2,940","3,000","3,260","3,340","3,520","3,110","3,180"
 FL ,"3,100","3,170","3,080","3,200","3,680","4,050","3,740","3,270","3,110","3,010","2,810","2,800","2,910","3,070","3,290","3,480","3,730","3,340","3,450"
 GA ,"2,910","3,010","3,110","3,200","3,510","3,650","3,320","2,990","2,860","2,780","2,610","2,660","2,750","2,890","3,130","3,270","3,470","3,110","3,210"
 HI ,"3,330","3,460","3,480","3,650","4,030","4,190","3,930","3,650","3,580","3,490","3,290","3,360","3,460","3,650","3,860","4,060","4,290","3,680","3,750"
 IA ,"2,400","2,510","2,540","2,630","2,840","2,850","2,630","2,420","2,360","2,250","2,150","2,170","2,220","2,340","2,450","2,530","2,650","2,370","2,450"
 ID ,"2,820","2,940","2,900","2,900","3,170","3,360","3,150","2,900","2,780","2,610","2,470","2,500","2,550","2,630","2,740","2,830","2,930","2,640","2,620"
