State,State Code ,Percentage
Alabama,AL,22
Alaska,AK,27.3
Arizona,AZ,25.1
Arkansas,AR,18.8
California,CA,29.6
Colorado,CO,35.6
Connecticut,CT,35.6
Delaware,DE,27.5
D.C.,DC,48.2
Florida,FL,25.8
Georgia,GA,27.5
Hawaii,HI,29.1
Idaho,ID,24
Illinois,IL,29.9
Indiana,IN,22.9
Iowa,IA,24.3
Kansas,KS,29.6
Kentucky,KY,19.7
Louisiana,LA,20.3
Maine,ME,25.4
Maryland,MD,35.2
Massachusetts,MA,38.1
Michigan,MI,24.7
Minnesota,MN,31.5
Mississippi,MS,19.4
Missouri,MO,25
Montana,MT,27.1
Nebraska,NE,27.1
Nevada,NV,21.9
New Hampshire,NH,33.3
New Jersey,NJ,34.4
New Mexico,NM,24.7
New York,NY,31.9
North Carolina,NC,26.1
North Dakota,ND,26.9
Ohio,OH,24.1
Oklahoma,OK,22.2
Oregon,OR,28.1
Pennsylvania,PA,26.3
Rhode Island,RI,30
South Carolina,SC,23.7
South Dakota,SD,25.1
Tennessee,TN,22.9
Texas,TX,25.3
Utah,UT,29.1
Vermont,VT,32.1
Virginia,VA,33.7
Washington,WA,30.7
West Virginia,WV,17.1
Wisconsin,WI,25.7
Wyoming,WY,23.6
