State,Year,Data.Population,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Violent.Robbery
Alabama,1960,3266740,11626,19344,898
Alabama,1961,3302000,11205,18801,630
Alabama,1962,3358000,11722,21306,754
Alabama,1963,3347000,12614,22874,828
Alabama,1964,3407000,15898,26713,992
Alabama,1965,3462000,16398,28115,992
Alabama,1966,3517000,18551,30583,1124
Alabama,1967,3540000,20227,31682,1167
Alabama,1968,3566000,22403,34508,1462
Alabama,1969,3531000,23559,36644,1448
Alabama,1970,3444165,26739,40779,1731
Alabama,1971,3479000,27547,40841,2005
Alabama,1972,3510000,27714,38493,2407
Alabama,1973,3539000,31754,39206,2809
Alabama,1974,3577000,37841,46813,3562
Alabama,1975,3614000,42059,59470,4446
Alabama,1976,3665000,42879,72832,3520
Alabama,1977,3690000,41901,69442,3572
Alabama,1978,3742000,46001,74387,3708
Alabama,1979,3769000,48517,83791,4127
Alabama,1980,3861466,58952,102029,5102
Alabama,1981,3916000,56811,105471,4952
Alabama,1982,3943000,49531,104740,4417
Alabama,1983,3959000,42485,94279,3895
Alabama,1984,3990000,39970,89198,3833
Alabama,1985,4021000,41612,88108,4237
Alabama,1986,4053000,46974,93396,4523
Alabama,1987,4083000,48927,99260,4581
Alabama,1988,4127000,50920,103282,4860
Alabama,1989,4118000,47224,106771,5515
Alabama,1990,4040587,44585,111336,5805
Alabama,1991,4089000,51873,118151,6246
Alabama,1992,4136000,49053,117801,6819
Alabama,1993,4187000,45578,111878,6677
Alabama,1994,4219000,44064,119951,7223
Alabama,1995,4253000,43586,120967,7900
Alabama,1996,4273000,42821,123350,7124
Alabama,1997,4319000,43786,127616,6931
Alabama,1998,4352000,41965,120943,5698
Alabama,1999,4369862,38648,119616,5297
Alabama,2000,4447100,40331,127399,5702
Alabama,2001,4468912,40642,119992,5584
Alabama,2002,4478896,42578,123932,5962
Alabama,2003,4503726,43245,124039,6038
Alabama,2004,4525375,44666,123650,6042
Alabama,2005,4548327,43473,120780,6447
Alabama,2006,4599030,44780,121451,7062
Alabama,2007,4627851,45379,124465,7398
Alabama,2008,4661900,50411,126539,7346
Alabama,2009,4708708,48844,118072,6265
Alabama,2010,4785401,42484,115564,4864
Alabama,2011,4803689,51119,111411,4906
Alabama,2012,4822023,47481,111523,5020
Alabama,2013,4833722,42429,108993,4648
Alabama,2014,4849377,39715,104238,4701
Alabama,2015,4858979,35255,99156,4611
Alabama,2016,4863300,34065,97574,4686
Alabama,2017,4874747,31477,99842,4217
Alabama,2018,4887871,28841,95747,4076
Alabama,2019,4903185,26079,92477,3941
Alaska,1960,226167,751,2195,64
Alaska,1961,234000,891,2223,29
Alaska,1962,246000,865,2424,34
Alaska,1963,248000,946,3010,55
Alaska,1964,250000,1109,3046,53
Alaska,1965,253000,1403,3777,101
Alaska,1966,272000,1613,4354,98
Alaska,1967,272000,1873,4436,96
Alaska,1968,277000,2070,5307,146
Alaska,1969,282000,2455,6195,190
Alaska,1970,302173,2387,6595,217
Alaska,1971,313000,2656,7631,210
Alaska,1972,325000,3155,8577,216
Alaska,1973,330000,3852,9456,221
Alaska,1974,337000,3932,10016,298
Alaska,1975,352000,4275,12399,456
Alaska,1976,382000,4653,13969,477
Alaska,1977,407000,5420,13715,394
Alaska,1978,403000,5397,14522,368
Alaska,1979,406000,5616,15076,445
Alaska,1980,440142,5545,14916,360
Alaska,1981,412000,5479,16310,472
Alaska,1982,438000,5204,16672,586
Alaska,1983,479000,5720,17085,465
Alaska,1984,500000,6184,18140,547
Alaska,1985,521000,6209,18220,484
Alaska,1986,534000,6204,20879,470
Alaska,1987,525000,5093,18195,384
Alaska,1988,513000,4321,15911,374
Alaska,1989,527000,4358,15811,356
Alaska,1990,550043,4919,17428,422
Alaska,1991,570000,5582,20375,645
Alaska,1992,587000,5170,20728,640
Alaska,1993,599000,4893,21201,733
Alaska,1994,606000,4848,21824,886
Alaska,1995,604000,5055,21891,937
Alaska,1996,607000,5118,20557,710
Alaska,1997,609000,4276,20780,648
Alaska,1998,614000,4098,18611,532
Alaska,1999,619500,3787,16654,566
Alaska,2000,626932,3899,16838,490
Alaska,2001,633630,3847,16695,514
Alaska,2002,641482,3908,17739,489
Alaska,2003,648280,3874,18051,446
Alaska,2004,657755,3773,16159,447
Alaska,2005,663253,4131,17249,537
Alaska,2006,670053,4155,17284,600
Alaska,2007,683478,3734,16929,581
Alaska,2008,686293,3237,15225,645
Alaska,2009,698473,3600,15251,654
Alaska,2010,714146,3105,15535,594
Alaska,2011,723860,2852,14854,576
Alaska,2012,731449,2950,15565,630
Alaska,2013,735132,2916,16599,624
Alaska,2014,736732,3150,15445,629
Alaska,2015,738432,3511,15249,761
Alaska,2016,741894,4053,17766,850
Alaska,2017,739795,4171,17775,951
Alaska,2018,737438,3979,16364,896
Alaska,2019,731545,3563,15114,826
Arizona,1960,1302161,8926,23207,706
Arizona,1961,1391000,10262,26099,786
Arizona,1962,1509000,11693,28605,851
Arizona,1963,1559000,12944,31213,897
Arizona,1964,1581000,13726,35190,967
Arizona,1965,1608000,13129,36208,895
Arizona,1966,1618000,15066,42555,898
Arizona,1967,1634000,18583,49923,1224
Arizona,1968,1670000,19496,50471,1448
Arizona,1969,1693000,22053,53231,1692
Arizona,1970,1772482,26464,62918,2130
Arizona,1971,1849000,26549,67566,2095
Arizona,1972,1945000,31429,66883,2350
Arizona,1973,2058000,40301,76560,3031
Arizona,1974,2153000,54557,97286,4396
Arizona,1975,2224000,56265,105588,3780
Arizona,1976,2270000,53722,105389,2949
Arizona,1977,2296000,53866,102571,3173
Arizona,1978,2354000,49023,106042,3835
Arizona,1979,2450000,48916,116976,4305
Arizona,1980,2715357,58527,132814,5258
Arizona,1981,2793000,57655,127469,4961
Arizona,1982,2860000,53861,124723,4537
Arizona,1983,2963000,49440,114721,3923
Arizona,1984,3053000,52327,118604,4003
Arizona,1985,3187000,59585,135720,4670
Arizona,1986,3317000,63278,143845,5614
Arizona,1987,3386000,55059,153296,4687
Arizona,1988,3466000,54773,167121,4750
Arizona,1989,3556000,59284,181574,4944
Arizona,1990,3665228,61206,172375,5897
Arizona,1991,3750000,60281,159987,6215
Arizona,1992,3832000,54095,158053,5867
Arizona,1993,3936000,57684,172689,6412
Arizona,1994,4075000,60157,190649,6601
Arizona,1995,4218000,59762,207763,7329
Arizona,1996,4428000,55630,188300,7429
Arizona,1997,4555000,60077,195045,7547
Arizona,1998,4669000,56473,183137,7715
Arizona,1999,4778332,49423,167731,7288
Arizona,2000,5130632,51902,176705,7504
Arizona,2001,5306966,54821,186850,8868
Arizona,2002,5441125,59087,201541,8000
Arizona,2003,5579222,58613,198725,7619
Arizona,2004,5739879,56885,179012,7721
Arizona,2005,5953007,56328,176112,8579
Arizona,2006,6166318,59418,178321,9491
Arizona,2007,6338755,59988,177076,9764
Arizona,2008,6500180,58606,169460,9809
Arizona,2009,6595778,54308,155976,8199
Arizona,2010,6413158,50932,154137,6953
Arizona,2011,6467315,54695,155400,7145
Arizona,2012,6553255,52934,159838,7386
Arizona,2013,6626624,48533,159272,6702
Arizona,2014,6731484,43562,154091,6249
Arizona,2015,6828065,37957,152365,6360
Arizona,2016,6931071,37736,150275,7055
Arizona,2017,7016270,37627,147830,7440
Arizona,2018,7171646,31532,141303,6523
Arizona,2019,7278717,28699,130788,6410
Arkansas,1960,1786272,5399,10250,443
Arkansas,1961,1797000,5536,10211,446
Arkansas,1962,1823000,5683,11169,400
Arkansas,1963,1858000,6087,12315,466
Arkansas,1964,1933000,7135,14622,565
Arkansas,1965,1960000,6344,14254,465
Arkansas,1966,1955000,7044,15140,574
Arkansas,1967,1968000,8735,17301,693
Arkansas,1968,2012000,11463,21506,796
Arkansas,1969,1995000,12989,24069,885
Arkansas,1970,1923295,14606,25388,877
Arkansas,1971,1944000,14014,24173,947
Arkansas,1972,1978000,14541,24891,1084
Arkansas,1973,2037000,18088,29204,1456
Arkansas,1974,2062000,22170,35989,1664
Arkansas,1975,2116000,22791,41199,1854
Arkansas,1976,2109000,19771,42474,1618
Arkansas,1977,2144000,20852,39924,1784
Arkansas,1978,2186000,21140,42647,1748
Arkansas,1979,2180000,21457,45267,1626
Arkansas,1980,2284037,25559,49558,1848
Arkansas,1981,2294000,24732,50959,1776
Arkansas,1982,2291000,24547,52450,1805
Arkansas,1983,2328000,22380,48140,1614
Arkansas,1984,2349000,20810,46807,1587
Arkansas,1985,2359000,22207,49957,1617
Arkansas,1986,2372000,24429,54677,1890
Arkansas,1987,2388000,25743,60862,1890
Arkansas,1988,2422000,26443,60363,2037
Arkansas,1989,2406000,28738,63084,2660
Arkansas,1990,2350725,28464,66630,2661
Arkansas,1991,2372000,29093,71487,3217
Arkansas,1992,2399000,26214,66288,3011
Arkansas,1993,2424000,26646,67767,3027
Arkansas,1994,2453000,26911,68478,3158
Arkansas,1995,2484000,24763,69935,3122
Arkansas,1996,2510000,23925,73010,2864
Arkansas,1997,2523000,25568,72253,2814
Arkansas,1998,2538000,23559,65525,2442
Arkansas,1999,2551373,21692,63927,2024
Arkansas,2000,2673400,21443,69740,2001
Arkansas,2001,2694698,22196,69590,2181
Arkansas,2002,2706268,23229,71129,2524
Arkansas,2003,2727774,25016,68061,2227
Arkansas,2004,2750000,30151,74242,2372
Arkansas,2005,2775708,30118,75510,2532
Arkansas,2006,2810872,31864,72646,2749
Arkansas,2007,2834797,32035,73096,3105
Arkansas,2008,2855390,33912,69905,2777
Arkansas,2009,2889450,34753,68228,2576
Arkansas,2010,2921588,32463,65796,2369
Arkansas,2011,2938582,34016,70645,2357
Arkansas,2012,2949131,31890,70327,2320
Arkansas,2013,2959373,30485,70450,2258
Arkansas,2014,2966369,24790,68627,2050
Arkansas,2015,2978204,22640,68424,2098
Arkansas,2016,2988248,23771,66747,2120
Arkansas,2017,3004279,21862,63374,1935
Arkansas,2018,3013825,19193,61487,1594
Arkansas,2019,3017804,18095,60735,1557
California,1960,15717204,143102,311956,15287
California,1961,16397000,146615,319834,14832
California,1962,16970000,158523,348373,15598
California,1963,17590000,175703,384289,16458
California,1964,18084000,196883,427960,18667
California,1965,18602000,225007,444217,21081
California,1966,18918000,241666,474122,22317
California,1967,19153000,276958,526477,28539
California,1968,19221000,316081,582838,36991
California,1969,19443000,325891,638249,39240
California,1970,19953134,349788,682811,41277
California,1971,20223000,392277,711417,47626
California,1972,20468000,398960,663568,48829
California,1973,20601000,407824,643488,49531
California,1974,20907000,433194,737067,52822
California,1975,21185000,469726,784639,59827
California,1976,21520000,467980,806086,59318
California,1977,21896000,468452,766317,62852
California,1978,22294000,488966,777783,68235
California,1979,22696000,496310,847148,75767
California,1980,23532680,545138,913070,90420
California,1981,24159000,540806,921939,93781
California,1982,24724000,499466,935831,91988
California,1983,25174000,460460,867123,85826
California,1984,25622000,443094,857328,83924
California,1985,26365000,448506,890967,86387
California,1986,26981000,457698,913004,92512
California,1987,27663000,419969,896335,83341
California,1988,28168000,407631,933636,86141
California,1989,29063000,410468,972603,96431
California,1990,29760021,400392,951580,112208
California,1991,30380000,424656,986120,124939
California,1992,30867000,427491,968534,130897
California,1993,31211000,414182,945407,126436
California,1994,31431000,384257,929640,112160
California,1995,31589000,353895,902456,104611
California,1996,31878000,312212,830457,94222
California,1997,32268000,299240,784405,81468
California,1998,32667000,269012,724262,68782
California,1999,33145121,223814,660991,60039
California,2000,33871648,222293,651855,60249
California,2001,34600463,232273,697739,64614
California,2002,35001986,238428,715692,64968
California,2003,35462712,242274,731486,63770
California,2004,35842038,245903,728687,61768
California,2005,36154147,250521,692467,63622
California,2006,36457549,247230,669103,71142
California,2007,36553215,237850,654526,70706
California,2008,36756666,237811,650656,69388
California,2009,36961664,230198,615402,64093
California,2010,37338198,228857,600558,58116
California,2011,37683933,230075,596905,54291
California,2012,38041430,245767,635090,56521
California,2013,38332521,232058,621557,53640
